system:index,va,vr,.geo
0_5412,0.3075828552246094,0.1052585169672966,"{""type"":""Point"",""coordinates"":[9.618787982357833,5.411830667219595]}"
0_5434,0.3880671262741089,0.10896959155797958,"{""type"":""Point"",""coordinates"":[-85.61248990364541,34.813430156329844]}"
0_5450,0.4494687616825104,0.11009278148412704,"{""type"":""Point"",""coordinates"":[-105.21916172312997,33.10967297273402]}"
0_5469,0.4662325978279114,0.1185692697763443,"{""type"":""Point"",""coordinates"":[-50.78373693506922,-8.74771104963072]}"
0_5480,0.3449160158634186,0.14814262092113495,"{""type"":""Point"",""coordinates"":[-92.47227062823218,32.17435348535829]}"
0_5488,0.6311370134353638,0.10899506509304047,"{""type"":""Point"",""coordinates"":[-51.547748895006066,-10.516250530692293]}"
0_5490,0.390503853559494,0.1286049783229828,"{""type"":""Point"",""coordinates"":[-67.19655002114413,-12.335092670116916]}"
0_5504,0.4713025987148285,0.35207873582839966,"{""type"":""Point"",""coordinates"":[-40.83507889463441,-19.414065559633695]}"
0_5535,0.22789976000785828,0.0923701599240303,"{""type"":""Point"",""coordinates"":[-55.48787276839151,-27.580678133461134]}"
0_5536,1.485996127128601,0.756654679775238,"{""type"":""Point"",""coordinates"":[-86.48187366504219,13.534326736698462]}"
