system:index,fr,va,.geo
0_2508,0.231787770986557,0.33696305751800537,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,1.3939837217330933,0.36875757575035095,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2519,0.30452433228492737,0.8551101684570312,"{""type"":""Point"",""coordinates"":[-97.00376819984339,19.54060284623389]}"
0_2534,0.37790924310684204,0.7607673406600952,"{""type"":""Point"",""coordinates"":[-39.972241722311715,-8.9382277044568]}"
0_2541,0.21797116100788116,0.6712297201156616,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.7163611054420471,0.48051321506500244,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
0_2647,0.5015353560447693,1.0549083948135376,"{""type"":""Point"",""coordinates"":[-44.82933887030117,-2.6642774070684467]}"
0_2656,0.3646288216114044,0.8143226504325867,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2685,0.37911456823349,0.34782174229621887,"{""type"":""Point"",""coordinates"":[-101.21302025926798,19.600099211738634]}"
0_2707,1.2123852968215942,0.3265904188156128,"{""type"":""Point"",""coordinates"":[-61.15972247701096,-10.614109642793569]}"
0_2728,0.0817471444606781,1.351309061050415,"{""type"":""Point"",""coordinates"":[-94.39929516611872,16.658100875887794]}"
0_2730,0.2240019589662552,0.41707736253738403,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,0.18450172245502472,1.5084784030914307,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2804,1.3522605895996094,0.9076135158538818,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2881,0.4855601191520691,0.6051637530326843,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2922,0.2588597238063812,1.3294227123260498,"{""type"":""Point"",""coordinates"":[-41.63398206638998,-5.114230629195298]}"
0_2938,0.15643854439258575,1.2538058757781982,"{""type"":""Point"",""coordinates"":[-87.83967648117205,14.243675940426899]}"
0_2958,0.1884443312883377,1.0336453914642334,"{""type"":""Point"",""coordinates"":[-42.81661844877082,-7.9563335611990205]}"
