value,count,class,zone,group
0.2601,621,Temperate Broadleaf & Mixed Forests,4,Flora
0.2608,3385,Temperate Broadleaf & Mixed Forests,4,Flora
0.2609,1,Temperate Broadleaf & Mixed Forests,4,Flora
0.2615,2700,Temperate Broadleaf & Mixed Forests,4,Flora
0.262,67,Temperate Broadleaf & Mixed Forests,4,Flora
0.2621,1341,Temperate Broadleaf & Mixed Forests,4,Flora
0.2628,998,Temperate Broadleaf & Mixed Forests,4,Flora
0.2634,565,Temperate Broadleaf & Mixed Forests,4,Flora
0.2646,709,Temperate Broadleaf & Mixed Forests,4,Flora
0.2831,4039,Temperate Broadleaf & Mixed Forests,4,Flora
0.3246,1825,Temperate Broadleaf & Mixed Forests,4,Flora
0.3264,8965,Temperate Broadleaf & Mixed Forests,4,Flora
0.3301,29705,Temperate Broadleaf & Mixed Forests,4,Flora
0.3416,6722,Temperate Broadleaf & Mixed Forests,4,Flora
0.3439,622,Temperate Broadleaf & Mixed Forests,4,Flora
0.3651,3292,Temperate Broadleaf & Mixed Forests,4,Flora
0.4346,425,Temperate Broadleaf & Mixed Forests,4,Flora
0.4365,1324,Temperate Broadleaf & Mixed Forests,4,Flora
0.4383,891,Temperate Broadleaf & Mixed Forests,4,Flora
0.4392,8238,Temperate Broadleaf & Mixed Forests,4,Flora
0.4671,786,Temperate Broadleaf & Mixed Forests,4,Flora
0.4694,1134,Temperate Broadleaf & Mixed Forests,4,Flora
0.4697,8100,Temperate Broadleaf & Mixed Forests,4,Flora
0.4955,4510,Temperate Broadleaf & Mixed Forests,4,Flora
0.4975,9253,Temperate Broadleaf & Mixed Forests,4,Flora
0.4993,12554,Temperate Broadleaf & Mixed Forests,4,Flora
0.5005,11627,Temperate Broadleaf & Mixed Forests,4,Flora
0.614,11627,Temperate Broadleaf & Mixed Forests,4,Flora
0.6141,10175,Temperate Broadleaf & Mixed Forests,4,Flora
0.7064,3492,Temperate Broadleaf & Mixed Forests,4,Flora
0.716,883,Temperate Broadleaf & Mixed Forests,4,Flora
0.7946,12069,Temperate Broadleaf & Mixed Forests,4,Flora
0.8248,6481,Temperate Broadleaf & Mixed Forests,4,Flora
0.8254,17964,Temperate Broadleaf & Mixed Forests,4,Flora
0.8272,2456,Temperate Broadleaf & Mixed Forests,4,Flora
0.8298,5206,Temperate Broadleaf & Mixed Forests,4,Flora
0.863,11360,Temperate Broadleaf & Mixed Forests,4,Flora
0.8635,455,Temperate Broadleaf & Mixed Forests,4,Flora
0.9445,5713,Temperate Broadleaf & Mixed Forests,4,Flora
0.9454,1069,Temperate Broadleaf & Mixed Forests,4,Flora
0.9478,1969,Temperate Broadleaf & Mixed Forests,4,Flora
0.9481,427,Temperate Broadleaf & Mixed Forests,4,Flora
1,811,Temperate Broadleaf & Mixed Forests,4,Flora
0.0865,2549,Temperate Conifer Forests,5,Flora
0.101,5,Temperate Conifer Forests,5,Flora
0.1125,44,Temperate Conifer Forests,5,Flora
0.1126,438,Temperate Conifer Forests,5,Flora
0.1158,11009,Temperate Conifer Forests,5,Flora
0.1249,869,Temperate Conifer Forests,5,Flora
0.1274,162,Temperate Conifer Forests,5,Flora
0.143,1851,Temperate Conifer Forests,5,Flora
0.1446,10,Temperate Conifer Forests,5,Flora
0.145,136823,Temperate Conifer Forests,5,Flora
0.1455,105,Temperate Conifer Forests,5,Flora
0.1537,117,Temperate Conifer Forests,5,Flora
0.1647,3177,Temperate Conifer Forests,5,Flora
0.1668,637,Temperate Conifer Forests,5,Flora
0.1686,1102,Temperate Conifer Forests,5,Flora
0.1782,1120,Temperate Conifer Forests,5,Flora
0.2303,507,Temperate Conifer Forests,5,Flora
0.2308,5177,Temperate Conifer Forests,5,Flora
0.2323,843,Temperate Conifer Forests,5,Flora
0.2335,2169,Temperate Conifer Forests,5,Flora
0.2359,2854,Temperate Conifer Forests,5,Flora
0.2388,13,Temperate Conifer Forests,5,Flora
0.2396,253,Temperate Conifer Forests,5,Flora
0.2402,89196,Temperate Conifer Forests,5,Flora
0.2516,3711,Temperate Conifer Forests,5,Flora
0.2519,13373,Temperate Conifer Forests,5,Flora
0.2526,5,Temperate Conifer Forests,5,Flora
0.256,87,Temperate Conifer Forests,5,Flora
0.2584,1915,Temperate Conifer Forests,5,Flora
0.259,7316,Temperate Conifer Forests,5,Flora
0.2601,805,Temperate Conifer Forests,5,Flora
0.2608,4463,Temperate Conifer Forests,5,Flora
0.2609,4,Temperate Conifer Forests,5,Flora
0.2615,3444,Temperate Conifer Forests,5,Flora
0.262,85,Temperate Conifer Forests,5,Flora
0.2621,1949,Temperate Conifer Forests,5,Flora
0.2628,1114,Temperate Conifer Forests,5,Flora
0.2634,719,Temperate Conifer Forests,5,Flora
0.2646,255,Temperate Conifer Forests,5,Flora
0.2831,1697,Temperate Conifer Forests,5,Flora
0.3246,710,Temperate Conifer Forests,5,Flora
0.3264,4773,Temperate Conifer Forests,5,Flora
0.3301,12503,Temperate Conifer Forests,5,Flora
0.3416,2016,Temperate Conifer Forests,5,Flora
0.3439,304,Temperate Conifer Forests,5,Flora
0.3651,813,Temperate Conifer Forests,5,Flora
0.4346,236,Temperate Conifer Forests,5,Flora
0.4365,654,Temperate Conifer Forests,5,Flora
0.4383,392,Temperate Conifer Forests,5,Flora
0.4392,1952,Temperate Conifer Forests,5,Flora
0.4671,708,Temperate Conifer Forests,5,Flora
0.4694,1134,Temperate Conifer Forests,5,Flora
0.4697,8452,Temperate Conifer Forests,5,Flora
0.4955,4355,Temperate Conifer Forests,5,Flora
0.4975,7273,Temperate Conifer Forests,5,Flora
0.4993,11481,Temperate Conifer Forests,5,Flora
0.5005,9812,Temperate Conifer Forests,5,Flora
0.614,3025,Temperate Conifer Forests,5,Flora
0.6141,2745,Temperate Conifer Forests,5,Flora
0.7064,3680,Temperate Conifer Forests,5,Flora
0.716,674,Temperate Conifer Forests,5,Flora
0.7946,2856,Temperate Conifer Forests,5,Flora
0.8248,1403,Temperate Conifer Forests,5,Flora
0.8254,3233,Temperate Conifer Forests,5,Flora
0.8272,740,Temperate Conifer Forests,5,Flora
0.8298,1911,Temperate Conifer Forests,5,Flora
0.863,3482,Temperate Conifer Forests,5,Flora
0.8635,193,Temperate Conifer Forests,5,Flora
0.9445,4787,Temperate Conifer Forests,5,Flora
0.9454,892,Temperate Conifer Forests,5,Flora
0.9478,1904,Temperate Conifer Forests,5,Flora
0.9481,434,Temperate Conifer Forests,5,Flora
1,837,Temperate Conifer Forests,5,Flora
